project_ID	projectLocation_ID	precision_code	geoname_ID	placename	latitude	longitude	location_type	R_ID	R_NAME	Z_ID	Z_NAME	D_ID	D_NAME	V_ID	V_NAME
872382130	872382130_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
872382165196	872382165196_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723823112	8723823112_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723823127	8723823127_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723831145	8723831145_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723831157	8723831157_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723831374	8723831374_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723831655	8723831655_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851221	8723851221_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851249	8723851249_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851251	8723851251_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851362	8723851362_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851363	8723851363_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851428	8723851428_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723851509	8723851509_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723868191	8723868191_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723878523	8723878523_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723881980	8723881980_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723881994	8723881994_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723882257	8723882257_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723882259	8723882259_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
